SKU,Side,MessageSlot,Symbols
90000001,S1,MX20022,4&5
90000002,S1,MX20022,5
90000003,S1,MX20022,4&5&6
90000004,S1,MX20022,4&5
90000005,S1,MX20022,4&5
90000006,S1,MX20022,5&7
90000007,S1,MX20022,5&7
90000008,S1,MX20022,5
90000009,S1,MX20022,5
90000010,S1,MX20022,5
90000011,S1,MX20022,4&5
90000012,S1,MX20022,5&6
90000013,S1,MX20022,5
90000014,S1,MX20022,5&7
90000015,S1,MX20022,5&7
90000016,S1,MX20022,
90000017,S1,MX20022,
90000018,S1,MX20022,
90000019,S1,MX20022,
90000020,S1,MX20022,
90000021,S1,MX20022,
90000022,S1,MX20022,
90000023,S1,MX20022,
90000024,S1,MX20022,6&8
90000025,S1,MX20022,7
90000026,S1,MX20022,